id_cliente,fecha_desembolso,incumplimiento,tipo_cliente,desv_retiros_atm_12m,monto_min_transado_1m,monto_min_transado_2m,desv_recargas_pse_12m,prom_retiros_atm_12m,version_sistema_operativo,cupo_disp_rotativo,meses_cancel_telcos,porcentaje_productos_48meses_total,meses_apertura_ultimo_prod_total,meses_apertura_telcos,meses_apertura_rotativo,porcentaje_cartera_vencida_telcos,saldo_prom_rotativo,uso_total_prod_3m_rotativo,cupo_max_rotativo,part_ahorro_total,pct_productos_cerrados_rotativo,meses_apertura_ahorro,productos_abiertos_ahorro,saldo_total_9_meses_rotativo,cancel_pos_12m,ponderacion_reportes_al_dia_18m_total,ponderacion_24m_rotativo
677301236284.0,201805,0,adicion,1.0,1.2800131e-06,1.2800131e-06,0.22957821,0.20136629,8.0,1.43,11.0,86.67,0.0,119.0,61.0,100.0,0.37,35.46,2.3,20.0,66.67,0.0,3.0,0.96,1.0,17.801666,100.0
743560871709.0,201811,0,adicion,2.8613808,0.0,0.0,1.0335752,0.798137,6.0,0.43,5.0,88.0,1.0,137.0,61.0,0.0,3.79,81.37,5.31,16.0,40.0,16.0,4.0,10.82,1.0,100.0,100.0
772399451580.0,201809,0,adicion,0.2763854,0.0,0.0,0.0,0.06400066,8.0,15.36,8.0,55.56,8.0,229.0,73.0,0.0,0.1,9.74,24.32,33.33,83.33,21.0,3.0,5.81,2.0,100.0,100.0
870852201910.0,201808,0,adicion,0.37267798,3.4560355e-05,1.9200197e-05,0.0,0.016000165,7.0,1.28,7.0,85.71,0.0,126.0,69.0,0.0,3.09,76.67,9.47,18.18,50.0,4.0,4.0,54.37,10.0,100.0,100.0
881377150053.0,201812,0,objetivo,1.4433757,0.12800132,0.12800132,0.48060277,0.37013713,7.0,4.3,47.0,45.45,10.0,76.0,142.0,0.0,1.63,1.38,8.45,27.27,50.0,10.0,3.0,0.81,0.0,100.0,100.0
950256700594.0,201801,0,adicion,0.0,2.7110666e-06,1.3555333e-06,0.087579474,0.0,11.0,19.38,81.0,63.64,1.0,237.0,115.0,0.0,6.95,36.6,34.16,18.18,73.33,3.0,2.0,18.63,0.0,100.0,100.0
981567413964.0,201808,0,adicion,0.62360954,0.0,1.2800131e-06,0.0267042479999999,0.0149334864999999,11.0,9.04,0.0,58.82,1.0,222.0,248.0,0.0,4.95,36.63,39.68,17.65,78.79,6.0,3.0,80.6,0.0,100.0,100.0
265576461537.0,201805,0,adicion,0.2763854,3.2000327e-05,0.0,0.0,0.0021333552,11.0,1.3,85.0,54.55,3.0,243.0,163.0,0.0,4.91,64.52,9.92,27.27,53.85,4.0,3.0,11.15,1.0,100.0,100.0
313442074991.0,201811,0,objetivo,1.5811388000000002,1.2800131e-06,0.0,0.9916654,0.423471,8.0,1.77,0.0,81.82,0.0,123.0,19.0,0.0,11.63,74.18,17.83,45.45,33.33,0.0,5.0,18.27,1.0,100.0,94.63625
323068381825.0,201809,0,adicion,0.8620066999999999,3.712038e-05,0.0,0.39405137,0.03946707,8.0,1.04,1.0,71.43,8.0,95.0,22.0,0.0,0.24,20.73,1.28,28.57,66.67,8.0,2.0,0.09,0.0,100.0,98.1858
408624841904.0,201810,0,adicion,0.0,1.2800131e-06,1.2800131e-06,0.0,0.0,0.0,11.04,53.0,61.54,1.0,177.0,55.0,0.0,11.55,57.15,51.2,15.38,68.75,6.0,2.0,58.21,2.0,100.0,100.0
499992142394.0,201808,0,adicion,0.0,9.472097e-05,0.000121601246,1.3579538,0.0,12.0,1.94,43.0,83.33,10.0,111.0,56.0,0.0,0.3,16.6,2.56,28.57,33.33,29.0,2.0,1.34,0.0,100.0,100.0
600968755015.0,201809,0,adicion,0.2763854,0.0,0.0,0.035377696,0.010666776,7.0,3.53,15.0,30.43,2.0,201.0,158.0,0.0,11.14,99.17,23.68,13.04,64.0,3.0,3.0,58.32,2.0,100.0,100.0
789273102939.0,201811,0,adicion,0.0,5.1200523e-06,0.0,0.0,0.0,8.0,8.86,10.0,100.0,0.0,196.0,125.0,0.0,0.02,19.28,10.96,29.41,66.67,4.0,5.0,5.36,4.0,100.0,100.0
964454991592.0,201802,0,adicion,0.0,0.0,0.0,0.3289787,0.0,11.0,6.75,5.0,65.63,1.0,237.0,338.0,0.0,3.96,52.25,102.4,6.25,42.65,1.0,4.0,299.24,12.0,100.0,100.0
50718820297.0,201806,1,adicion,2.7335365,0.06400066,0.019200196,0.46719447,0.29211918,11.0,0.19,4.0,100.0,0.0,48.0,41.0,108.01,0.39,107.66,1.02,36.36,82.35,1.0,8.0,1.78,11.0,0.0,0.85935754
93570860713.0,201812,0,objetivo,2.8722813,0.08960092,0.0,0.5076164000000001,0.2848029,8.0,1.8,25.0,100.0,3.0,53.0,30.0,0.0,7.42,92.54,9.22,16.67,50.0,3.0,1.0,9.45,0.0,100.0,100.0
314607256769.0,201812,0,objetivo,0.6400955,2.5600261e-06,0.0,0.5740679,0.01813352,7.0,4.07,24.0,81.25,4.0,61.0,61.0,0.0,2.43,13.6,17.91,17.65,50.0,10.0,3.0,26.71,0.0,100.0,100.0
509444053045.0,201811,0,objetivo,0.0,0.0,0.0,0.1627374,0.0,12.0,0.0,62.0,62.5,0.0,115.0,29.0,0.0,6.33,92.89,6.34,62.5,50.0,0.0,5.0,5.08,0.0,100.0,89.22658
533141413040.0,201810,0,adicion,1.6562172,1.1520118e-05,0.0,0.06918751,0.03093365,8.0,3.17,2.0,92.31,0.0,46.0,49.0,0.0,0.96,15.72,4.61,35.71,81.82,1.0,5.0,2.6,4.0,100.0,100.0
544708941916.0,201811,0,adicion,1.1149241,1.9200197e-05,1.02401045e-05,0.26178852,0.01813352,7.0,3.67,6.0,50.0,5.0,80.0,66.0,0.0,0.02,2.63,6.4,25.0,37.5,11.0,2.0,0.01,1.0,100.0,100.0
616192860603.0,201802,0,adicion,1.4337208,1.5360157999999997e-05,5.422133e-06,0.7835441,0.24204506,7.0,0.9,10.0,57.14,0.0,88.0,73.0,0.0,0.0,0.0,0.9,71.43,75.0,0.0,5.0,0.0,0.0,100.0,100.0
700381410108.0,201802,0,adicion,0.0,2.5600261e-06,0.0,0.08208931,0.0,0.0,18.95,37.0,66.67,2.0,92.0,27.0,0.0,0.25,20.07,25.6,50.0,85.71,2.0,3.0,3.96,0.0,100.0,100.0
909263223232.0,201811,1,adicion,0.2763854,0.0,0.0,0.035377696,0.009036889,7.0,1.29,7.0,68.42,0.0,128.0,149.0,0.0,3.4,78.44,8.32,26.32,83.33,11.0,5.0,5.97,0.0,100.0,96.805405
921291841398.0,201811,1,adicion,0.0,0.0,0.0,0.056197446,0.0,11.0,0.44,1.0,88.89,2.0,60.0,10.0,100.0,4.62,73.19,6.66,22.22,66.67,15.0,2.0,3.87,2.0,29.174585,49.520164
936163414351.0,201806,1,adicion,1.440968,1.02401045e-05,0.0,0.1873247999999999,0.32559797,0.0,0.04,59.0,70.0,12.0,140.0,78.0,1915.79,4.22,107.66,7.32,35.0,38.46,12.0,7.0,30.74,3.0,0.0,49.520164
18117908728.0,201812,0,adicion,0.0,1.02401045e-05,1.7920183e-05,0.40026855,0.0,11.0,7.31,154.0,16.67,9.0,215.0,222.0,0.0,5.62,57.13,18.55,33.33,77.78,9.0,2.0,14.78,1.0,100.0,100.0
145420090795.0,201812,0,adicion,0.0,0.0,5.1200523e-06,0.0,0.0,7.0,1.09,16.0,60.0,0.0,97.0,94.0,0.0,0.7,37.52,2.94,36.36,50.0,3.0,4.0,1.72,0.0,100.0,100.0
249490551372.0,201810,0,adicion,0.0,3.8400394e-06,0.0,0.0,0.0,11.0,13.33,40.0,87.5,0.0,90.0,22.0,0.0,24.94,74.37,57.6,25.0,88.24,0.0,2.0,56.91,3.0,100.0,83.86283
295627461189.0,201802,0,adicion,0.0,1.2800131e-06,0.0,0.0037464965,0.0,7.0,6.13,64.0,50.0,4.0,100.0,17.0,0.0,0.2,39.58,8.32,50.0,50.0,4.0,3.0,3.27,1.0,100.0,91.56389
362413961788.0,201808,0,adicion,0.62360954,0.0,0.0,0.0,0.07794317,8.0,8.66,34.0,90.91,5.0,141.0,38.0,0.0,0.82,6.85,13.57,27.27,88.46,11.0,3.0,14.97,10.0,100.0,89.22658
378908236070.0,201804,0,adicion,0.0,0.0,0.0,0.0007492992399999,0.0,12.0,13.17,8.0,84.62,2.0,152.0,87.0,0.0,12.53,39.68,70.78,30.77,73.91,8.0,4.0,14.45,2.0,100.0,100.0
890948385071.0,201810,0,objetivo,1.8314384,1.2800131e-06,7.680078999999999e-06,0.78644496,0.46293807,11.0,0.79,15.0,90.91,8.0,68.0,43.0,0.0,5.74,74.77,9.09,18.18,68.75,17.0,2.0,23.84,2.0,100.0,100.0
165391637040.0,201812,0,adicion,1.3437096000000002,1.2800131e-05,0.0,1.2584618,0.2240022999999999,7.0,0.37,48.0,70.0,2.0,91.0,51.0,0.0,4.74,93.35,12.54,30.0,20.0,5.0,3.0,20.32,0.0,78.03251999999999,79.5305
